"PRODUCT_ID","PRICE_TYPE","DATE_FROM","DATE_TO","PRICE","STORE_ID"
"3046357","REGULAR","29/01/19","21/02/19","          4.125000","DC02"
"3046357","REGULAR","01/01/19","15/01/19","          3.550000","DC02"
"3046357","REGULAR","01/01/18","10/02/18","          3.800000","DC02"
"3046357","PROMO","28/07/18","28/07/18","          1.962500","DC02"
"3046357","REGULAR","11/02/18","27/07/18","          3.925000","DC02"
"3046357","REGULAR","06/12/18","31/12/18","          3.812500","DC02"
"3046357","REGULAR","29/07/18","14/08/18","          3.925000","DC02"
"3046357","REGULAR","22/02/19","12/03/19","          4.112500","DC02"
"3046357","PROMO","13/03/19","26/03/19","          3.237500","DC02"
"3046357","REGULAR","27/03/19","15/08/19","          4.112500","DC02"
"3046357","REGULAR","29/08/18","05/12/18","          3.925000","DC02"
"3046357","PROMO","15/08/18","28/08/18","          3.137500","DC02"
"3046357","PROMO","06/11/19","19/11/19","          3.300000","DC02"
"3046357","REGULAR","16/01/19","28/01/19","          3.900000","DC02"
"3046357","REGULAR","16/08/19","05/11/19","          4.125000","DC02"
"3046357","REGULAR","20/11/19","29/02/20","          4.125000","DC02"
"3046358","REGULAR","06/06/18","19/06/18","          3.925000","DC02"
"3046358","REGULAR","18/01/18","05/02/18","          3.800000","DC02"
"3046358","REGULAR","22/03/18","26/04/18","          2.887500","DC02"
"3046358","REGULAR","01/01/18","17/01/18","          2.812500","DC02"
"3046358","REGULAR","29/07/18","31/07/18","          3.025000","DC02"
"3046358","REGULAR","08/03/18","21/03/18","          2.812500","DC02"
"3046358","REGULAR","29/06/18","27/07/18","          3.025000","DC02"
"3046358","REGULAR","29/01/19","14/02/19","          3.662500","DC02"
"3046358","REGULAR","16/01/19","21/01/19","          3.962500","DC02"
"3046358","REGULAR","06/02/18","10/02/18","          3.962500","DC02"
"3046358","PROMO","28/07/18","28/07/18","          1.487500","DC02"
"3046358","REGULAR","15/02/19","21/02/19","          3.562500","DC02"
"3046358","REGULAR","05/12/18","25/12/18","          3.175000","DC02"
"3046358","REGULAR","26/12/18","09/01/19","          3.850000","DC02"
"3046358","REGULAR","13/09/18","24/10/18","          3.175000","DC02"
"3046358","REGULAR","10/01/19","15/01/19","          3.925000","DC02"
"3046358","REGULAR","22/01/19","28/01/19","          3.850000","DC02"
